SchoolName,CourseName,Approval,State,Webpage,Telephone
1st Coast MaritimeLLC,Assistance Towing,Any applicant who successfully completes the Assistance Towing (FSTCML-42)course within one year of application will satisfy the requirements of 46 CFR11.482(b) to add an Assistance Towing endorsement to any national officerendorsement as Operator of Uninspected Passenger Vessels (OUPV) or Mate orMaster on vessels of less than 200 GRT.,GA,,8432002085
1st Coast MaritimeLLC,Operator ofUninspectedPassenger Vessels(OUPV),"Any applicant who has successfully completed your Operator of UninspectedPassenger Vessels (OUPV) (FSTCML -340) course and presents your Certificate ofTraining within one year of the completion of training, will satisfy theexamination requirements of 46 CFR 11.201(j)(1) for original issuance, 46 CFR10.227(1)(iii) for renewal, and 46 CFR 10.227(i)(1) for reissuance of a merchantmariner endorsement as Operator of Uninspected Passenger Vessels (OUPV)Upon Near Coastal, or Great Lakes and Inland, or Inland Waters.  The coursecompletion certificate issued upon successful completion of this course is validfor one application which results in the issuance of an endorsement(s) and maynot be used for future application transactions.",GA,,8432002085
1st Coast MaritimeLLC,Upgrade OUPV ToMaster 100 Tons,"Any applicant who has successfully completed your Upgrade OUPV to Master100 Tons (FSTCML-530) course and presents your Certificate of Training withinone year of the completion of training, will satisfy all examination requirementsfor upgrade of a merchant mariner credential from OUPV Near Coastal, or GreatLakes and Inland, or Inland Waters to a credential of Master of Vessels of lessthan 100 gross registered tons upon Near Coastal, or Great Lakes & Inland, orInland Waters; OR, increase the scope of a credential of Master of Vessels of lessthan 100 gross registered tons upon Great Lakes and Inland, or Inland Waters toMaster of Vessels of less than 100 gross registered tons upon Near CoastalWaters.  The course completion certificate issued upon successful completion ofthis course is valid for one application which results in the issuance of anendorsement(s) and may not be used thereafter for application transactions.",GA,,8432002085
3Bs Captain's School,Assistance Towing,"Any applicant who has successfully completed your Assistance Towing(BBBCAS-42) course and presents your Certificate of Training within one year ofthe completion of training, will satisfy the examination requirements of 46 CFR11.482(b) for an Assistance Towing endorsement to be added to any deckcredential for service upon vessels of not more than 200 gross tons.",MD,#http://www.captainsschool.com#,8885989598
3Bs Captain's School,Operator ofUninspectedPassenger Vessels(OUPV),"Any applicant who has successfully completed your Operator of UninspectedPassenger Vessels (OUPV) (BBBCAS-340) course and presents your Certificate ofTraining within one year of the completion of training, will satisfy theexamination requirements of 46 CFR 11.201(j)(1) for original issuance, 46 CFR10.227(e)(1)(iii) for renewal, and 46 CFR 10.227(i)(1) for reissuance of a merchantmariner endorsement as Operator of Uninspected Passenger Vessels (OUPV)Upon Near Coastal, or Great Lakes and Inland, or Inland Waters.  The coursecompletion certificate issued upon successful completion of this course is validfor one application which results in the issuance of an endorsement(s) and maynot be used for future application transactions.",MD,#http://www.captainsschool.com#,8885989598
3Bs Captain's School,Operator ofUninspectedPassenger Vessels(OUPV) (Inland),"Any applicant who has successfully completed your Operator of UninspectedPassenger Vessels (OUPV) (Inland) (BBBCAS-349) course and presents yourCertificate of Training within one year of the completion of training, will satisfythe examination requirements of 46 CFR 11.201(j)(1) for original issuance, 46 CFR10.227(1)(iii) for renewal, and 46 CFR 10.227(i)(1) for reissuance of a merchantmariner endorsement as Operator of Uninspected Passenger Vessels (OUPV)Upon Inland Waters.  The course completion certificate issued upon successfulcompletion of this course is valid for one application which results in the issuanceof an endorsement(s) and may not be used for future application transactions.",MD,#http://www.captainsschool.com#,8885989598
3Bs Captain's School,Upgrade OUPV ToMaster 100 Tons,"Any applicant who has successfully completed your Upgrade OUPV to Master100 Tons (BBBCAS-530) course and presents your Certificate of Training withinone year of the completion of training, will satisfy all examination requirementsfor upgrade of a merchant mariner credential from OUPV Near Coastal, or GreatLakes and Inland, or Inland Waters to a credential of Master of Vessels of lessthan 100 gross registered tons upon Near Coastal, or Great Lakes & Inland, orInland Waters; OR, increase the scope of a credential of Master of Vessels of lessthan 100 gross registered tons upon Great Lakes and Inland, or Inland Waters toMaster of Vessels of less than 100 gross registered tons upon Near CoastalWaters.  The course completion certificate issued upon successful completion ofthis course is valid for one application which results in the issuance of anendorsement(s) and may not be used thereafter for application transactions.",MD,#http://www.captainsschool.com#,8885989598
3rd Coast Captains,Assistance Towing,Any applicant who successfully completes your Assistance Towing (THRDCC-42)course within one year of application will satisfy the requirements of 46 CFR11.482(b) to add an Assistance Towing endorsement to any national officerendorsement as Operator of Uninspected Passenger Vessels (OUPV) or Mate orMaster on vessels of less than 200 GRT.,TX,#http://3rdcoastcaptains.com/#,3615638277
3Bs Captain's School,Upgrade OUPV ToMaster 100 Tons,,,,
3Bs Captain's School,Upgrade OUPV ToMaster 100 Tons,,,,
3rd Coast Captains,Upgrade OUPV ToMaster 100 Tons,"Any applicant who has successfully completed your Upgrade OUPV to Master100 Tons (THRDCC-530) course and presents your Certificate of Training withinone year of the completion of training, will satisfy all examination requirementsfor upgrade of a merchant mariner credential from OUPV Near Coastal, or GreatLakes and Inland, or Inland Waters to a credential of Master of Vessels of lessthan 100 gross registered tons upon Near Coastal, or Great Lakes & Inland, orInland Waters; OR, increase the scope of a credential of Master of Vessels of lessthan 100 gross registered tons upon Great Lakes and Inland, or Inland Waters toMaster of Vessels of less than 100 gross registered tons upon Near CoastalWaters.  The course completion certificate issued upon successful completion ofthis course is valid for one application which results in the issuance of anendorsement(s) and may not be used thereafter for application transactions.",TX,#http://3rdcoastcaptains.com/#,3615638277
"ABB, Inc.",High Voltage Safety,Any applicant who successfully completes your High Voltage Safety (ABBINC-219)course will satisfy:⦁ The High-Voltage Power Systems training requirements of 46 CFR 11.335(a)(4)(vi)for STCW endorsement as an Electro-Technical Officer (ETO);⦁ The High-Voltage Power Systems training requirements of 46 CFR 12.611(a)(4)(ii)for STCW endorsements as an Electro-Technical Rating (ETR);⦁ The equivalent of the specific TASKs found in the National AssessmentGuidelinesof the Electro-Technical Officer NVIC 23-14.1.8.A; 4.1.A; 4.1.B; and  4.1.C,TX,#http://www.abb.com/#,8328571824
